Pattern         		
IR_J-189_250    	ND_J-189_250    	Meter_J-189_250    
IR_J-189_270    	ND_J-189_270    	Meter_J-189_270    
IR_J-189_290    	ND_J-189_290    	Meter_J-189_290    
IR_J-189_310    	ND_J-189_310    	Meter_J-189_310    
IR_J-189_330    	ND_J-189_330    	Meter_J-189_330    
IR_J-189_350    	ND_J-189_350    	Meter_J-189_350    
IR_J-248_10     	ND_J-248_10     	Meter_J-248_10     
IR_J-248_30     	ND_J-248_30     	Meter_J-248_30     
IR_J-248_50     	ND_J-248_50     	Meter_J-248_50     
IR_J-248_70     	ND_J-248_70     	Meter_J-248_70     
IR_J-248_90     	ND_J-248_90     	Meter_J-248_90     
IR_J-248_110    	ND_J-248_110    	Meter_J-248_110    
IR_J-248_130    	ND_J-248_130    	Meter_J-248_130    
IR_J-248_150    	ND_J-248_150    	Meter_J-248_150    
IR_J-248_170    	ND_J-248_170    	Meter_J-248_170    
IR_J-248_190    	ND_J-248_190    	Meter_J-248_190    
IR_J-248_210    	ND_J-248_210    	Meter_J-248_210    
IR_J-248_230    	ND_J-248_230    	Meter_J-248_230    
IR_J-248_250    	ND_J-248_250    	Meter_J-248_250    
IR_J-248_270    	ND_J-248_270    	Meter_J-248_270    
IR_J-248_290    	ND_J-248_290    	Meter_J-248_290    
IR_J-248_310    	ND_J-248_310    	Meter_J-248_310    
IR_J-248_330    	ND_J-248_330    	Meter_J-248_330    
IR_J-248_350    	ND_J-248_350    	Meter_J-248_350    
IR_J-262_10     	ND_J-262_10     	Meter_J-262_10     
IR_J-262_30     	ND_J-262_30     	Meter_J-262_30     
IR_J-262_50     	ND_J-262_50     	Meter_J-262_50     
IR_J-262_70     	ND_J-262_70     	Meter_J-262_70     
IR_J-262_90     	ND_J-262_90     	Meter_J-262_90     
IR_J-262_110    	ND_J-262_110    	Meter_J-262_110    
IR_J-262_130    	ND_J-262_130    	Meter_J-262_130    
IR_J-262_150    	ND_J-262_150    	Meter_J-262_150    
IR_J-262_170    	ND_J-262_170    	Meter_J-262_170    
IR_J-262_190    	ND_J-262_190    	Meter_J-262_190    
IR_J-262_210    	ND_J-262_210    	Meter_J-262_210    
IR_J-262_230    	ND_J-262_230    	Meter_J-262_230    
IR_J-262_250    	ND_J-262_250    	Meter_J-262_250    
IR_J-262_270    	ND_J-262_270    	Meter_J-262_270    
IR_J-262_290    	ND_J-262_290    	Meter_J-262_290    
IR_J-262_310    	ND_J-262_310    	Meter_J-262_310    
IR_J-262_330    	ND_J-262_330    	Meter_J-262_330    
IR_J-262_350    	ND_J-262_350    	Meter_J-262_350    
IR_J-250_10     	ND_J-250_10     	Meter_J-250_10     
IR_J-250_30     	ND_J-250_30     	Meter_J-250_30     
IR_J-250_50     	ND_J-250_50     	Meter_J-250_50     
IR_J-250_70     	ND_J-250_70     	Meter_J-250_70     
IR_J-250_90     	ND_J-250_90     	Meter_J-250_90     
IR_J-250_110    	ND_J-250_110    	Meter_J-250_110    
IR_J-250_130    	ND_J-250_130    	Meter_J-250_130    
IR_J-250_150    	ND_J-250_150    	Meter_J-250_150    
IR_J-250_170    	ND_J-250_170    	Meter_J-250_170    
IR_J-250_190    	ND_J-250_190    	Meter_J-250_190    
IR_J-250_210    	ND_J-250_210    	Meter_J-250_210    
IR_J-250_230    	ND_J-250_230    	Meter_J-250_230    
IR_J-250_250    	ND_J-250_250    	Meter_J-250_250    
IR_J-250_270    	ND_J-250_270    	Meter_J-250_270    
IR_J-250_290    	ND_J-250_290    	Meter_J-250_290    
